text,label
"WHO approves malaria vaccine for children.",real
"NASA confirms water on the moon.",real
"Government launches new health scheme.",real
"Stock market hits all-time high.",real
"Olympics postponed due to pandemic.",real
"Scientists discover new species in Amazon rainforest.",real
"India successfully launches Chandrayaan-3.",real
"COVID-19 vaccine found to be 95% effective.",real
"UN reports decline in global poverty.",real
"Electric cars sales triple in 2023.",real
"Google unveils new AI-powered assistant.",real
"Invisibility cloak available on Amazon.",real
"Researchers develop biodegradable plastic.",real
"New York passes climate change legislation.",real
"Doctors recommend 8 hours of sleep for adults.",real
"Apple announces new MacBook with M3 chip.",real
"Researchers find link between diet and brain health.",real
"NASA rover sends back high-res Mars images.",real
"Electric airplanes begin test flights in Europe.",real
"Scientists develop cancer-detecting blood test.",real
"Global literacy rates reach all-time high.",real
"Aliens landed in New York.",fake
"Chocolate cures cancer.",fake
"Earth is flat confirmed by scientists.",fake
"Time travel machine invented.",fake
"NASA confirms water on the moon.",fake
"Drinking cola increases IQ.",fake
"Dinosaurs found alive in Antarctica.",fake
"Man wakes up after 200 years in coma.",fake
"Humans can breathe underwater using special pill.",fake
"Telepathy proven in recent lab tests.",fake
"Unicorns spotted in Siberian forest.",fake
"Scientists clone T-Rex in secret lab.",fake
"New app lets users fly using their phone.",fake
"Aliens building pyramids in Egypt, report says.",fake
"Eating ice cream daily makes you immortal.",fake
"Moon made of cheese study claims.",fake
"Government launches mind control satellites.",fake
"Atlantis discovered beneath the Sahara.",fake
"Facebook creates real-life Matrix.",fake
